"edrpou","name"
39002,"ПАТ Промінвестбанк"
39002,"ПАТ""Промінвестбанк"""
39002,"Слов. вiддiл.ПАТ ""Промiнвестбанк"""
39002,"Акцiонерний комерцийний промiнвестбанк"
39002,"ПАТ ""АК ПIБ"""
39002,"ПАТ ""ПРОМІНВЕСТБАНК"" У М.КИЄВІ"
39002,"ПАТ ""Промiнвестбанк"" в м. Житомир"
39002,"Обл.вiд.ПАТ""Промiнвестбанк""м.Чернiгiв"
39002,"ПАТ ""АК ""ПІБ"""
39002,"ПАТ КБ ""Промінвест Банк"" м.Черкаси"
39002,"Ф ПАТ ПIБ  в м. Луганськ"
39002,"ПАТ ""АК Промiнвестбанк"" м.Суми"
39002,"ПАТ ""Промiнвестбанк"",м.Суми"
39002,"ПАТ ""ПРОМIНВЕСТБАНК"""
39002,"ПАТ ПIБ"
39002,"ПАТ ""Акціонерний комерційн.промислово-"
39002,"ПАТ""Акціонерн.комерц.промислово-інвест"
39002,"Зведений рахунок переказiв на скр"
39002,"ДВ ПАТ""Промiнвестбанк""в Днiпроп.обл."
39002,"АК ""Промінвестбанк """
39002,"ОВ ПАТ Промiнвестбанк м.Вiнниця"
39002,"""Промінвестбанк"""
39019,"ПАТ ""УКРСОЦБАНК"""
39019,"ПАТ ""Укрсоцбанк"""
39019,"ПАТ Укрсоцбанк"
39019,"ПАТ "" Укрсоцбанк"""
39019,"Слов вiддiлення ПАТ ""Укрсоцбанк"""
39019,"АКБ ""Укрсоцбанк"""
39019,"ПАТ""Укрсоцбанк"""
39019,"ПАТ ""Укрсоцбанк"" м.Київ"
39019,"ПАТ ""Укрсоцбанк"" м. Кр. Ріг"
39019,"ПАТ УКРСОЦБАНК"
39019,"Львівська обл. філія УСБ"
39019,"ПАТ""УКРСОЦБАНК"""
39019,"Тропiн  Вiктор  Iванович"
39019,"Коломийське відділення ПАТ""Укрсоцбанк"""
39019,"""Укрсоцбанк"""
39019,"АКБ УСБ"
39019,"ПАТ УСБ"
39019,"Головний  офiс  ПАТ ""УКРСОЦБАНК"""
39019,"ПАТ""Укрсоцбанк""м.Киiв"
39019,"Головний офщс ПАТ ""Укрсоцбанк"""
39019,"ГО ПАТ ""Укрсоцбанк"""
39019,"ХОФ АКБ""Укрсоцбанк"""
39019,"ПАТ""Укрсоцбанк""Пвнiч.комерц.макрорег"
39019,"Укрсоцбанк"
39019,"ПАТ УСБ м.Київ"
39019,"Могилiвське вiд.ПАТ""Укрсоцбанк"""
39019,"ПАТ  УКРСОЦБАНК"
39019,"ПАТ ""УКРСОЦБАНК""м.Києв"
39019,"Трифоненко Iнна Iванiвна"
39019,"ПАО ""Укрсоцбанк"""
39019,"ДОФ АКБ УСБ"
39019,"Кост.вiд.ПАТ""Укрсоцбанк"""
39019,"Мукачівське відділення ПАТ Укрсоцбанк"
39019,"Хустське вiд - ня АКБ ""Укрсоцбанк"""
39019,"ПАТ ""УКРСОЦБАНК"" У М. КИЄВI"
39019,"""Укрсоцбанк"" м.Київ"
39019,"ПАТ""УКРСОЦБАНК"" М.КИЇВ"
39019,"Чернiгiвське вiддiлення ПАТ ""Укрсоцбан"
39019,"ПАТ ""УКРСОЦБАНК""  Запорiзьке вiддiленн"
39019,"ПАТ "" УКРСОЦБАНК"""
39019,"Жит.вiддiл. ПАТ УСБ"
39019,"Публічне акціонерне товариство Укрсоцб"
39019,"Яремчанське відділен.Укрсоцбанк"
39019,"ПКМ ПАТ""Укрсоцбанк"" Знам. вiддiл. №431"
39019,"ПАТ ""Укрцсоцбанк"""
39019,"Головний офiс ПАТ ""Укрсоцбанк"""
39019,"Головний офiс ПАТ""Укрсоцбанк"""
39019,"ПАТ ""УКРСОЦБАНК"
39019,"Пiвдений комерцiйний макрорегiон(м.Оде"
39019,"ПАТ""Укрсоцбанк"" Лисич.вiд.№556"
39019,"ПАТ ""Укрсоцбанк""Дрогобицьке відділення"
39019,"ПАТ  ""Укрсоцбанк"""
39019,"Острозьке вiддiлення ПАТ ""Укрсоцбанк"""
39019,"Острозьке вiд ПАТ ""Укрсоцбанк"""
39019,"Острозьке вiдд ПАТ ""Укрсоцбанк"""
39019,"АКБ""Укрсоцбанк"""
39019,"ПРОФСПIЛКА ДРАМТЕАТР"
39019,"Городоцьке вiддiлення ПАТ ""УСБ"""
39019,"ПАТ "" Укрсоцбанк """
39019,"Ум.вiд.ПКМ ПАТ""Укрсоцбанк"""
39019,"ПАТ Укрсоцбанк ЦКМ Сторожинецьке відд"
39019,"АМФ АКБ ""Укрсоцбанк"""
39019,"КМФ ПАТ ""Укрсоцбанк"" у м.Києвi"
39019,"ЧВ ПАТ ""Укрсоцбанк"""
39019,"ПАТ ""УКРСОЦБАНК"" Білоруське відділення"
39019,"Відділення ""На Дзержинського"" ПАТ Укрс"
39019,"Ситник Костянтин Меркурiйович"
39019,"ПАТ  Укрсоцбанк"
39019,"ПАТ""Укрсоцбанк""м.Дн-ськ"
39019,"Полях Ольга Iванiвна"
41482,"Державне космічне агентство України"
46077,"НАПН України"
61125,"НАМНУ"
63928,"Нац.рада України з пит.тел.і радіомов."
65028,"НАПрНУ"
110734,"ПАТ ""ЕМЗ"""
129314,"ДТЗЕ ім. Є.О.Патона"
129320,"ДВНЗ ""ПЕБТ"""
129320,"ДВНЗ Придніпровський енергобудівний те"
129320,"ДВНЗ ПЕБТм.Дніпропетровськ"
129337,"ДЕТ"
130694,"ПАТ ""Вінницяобленерго"""
130694,"ПАТ""Вiнницяобленерго"""
130694,"СО""Гайсинськi ЕМ""ПАТ""Вiнницяобленерго"""
130760,"ПАТ ЕК ""Чернівціобленерго""/Новоселицьк"
130760,"ПАТ ЕК Чернівціобленерго/Стор.РЕМ/"
130760,"ПАТ ЕК "" Чернвціобленерго """
130760,"Чернівецький РЕМ"
130760,"ПАТ ЕК ЧЕРНIВЦIОБЛЕНЕРГО/Стор.РЕМ"
130760,"ПАТЕК""Чернiцi обленерго""Хотинський РЕМ"
130760,"ПАТ ЕК Чернівціобленерго/Сторож.РЕМ"
130850,"Крив.ТЦ"
130850,"ДП ""Криворізька теплоцентраль"""
130850,"ДП ""Криворiзька теплоцентраль"""
130872,"ПАТ ""ДТЕК ДНIПРОЕНЕРГО """
130872,"ПАТ ""ДТЕК Дніпроенерго"""
130926,"Фiлiя ЗРУ ПАТ КБ ПРИВАТБАНК"
130926,"ВАТ ""Запорiжжяобленерго""Токмацький РЕМ"
130926,"ВАТ ""Зап.обленерго""Токмацький РЕМ"
130926,"ПАТ Ощадбанк"
130926,"ВАТ ""Запоріжжяобленерго"""
130926,"ВАТ ""Запорiжобленерго"" в ос. Полог.РЕМ"
130926,"ВАТ ""Запорiжжяобленерго"""
130926,"ВАТ""Запоріжжяобленерго"""
130926,"ВАТ ""Запорiжжяобленерго"" Вiл.РЕМ"
130926,"ВАТ ""Запорiжжяобленерго"" Мих.РЕМ"
130926,"Бердянський РЕМ"
130926,"ВАТ ""Зап. обленерго ""ВСП ""Вас. РЕМ"""
130926,"Каменско-Днiпровский РЄМ"
131268,"Донецькоблэнерго"
131268,"ПАТ ""ДТЕК Донецькобленерго"""
131268,"ПАТ ""ДТЕК ДОНЕЦЬКОБЛЕНЕРГО"" НП ПРЕМ"
131268,"ПАТ""ДТЕК Донецькобленерго""Краснол.РВЕ"
131268,"ПАТ ДТЕК Донецькобленерго"
131268,"ПАТ""ДТЕКДонобленерго""НП""Кост-кий РЕМ"""
131268,"ПАТ""ДТЕК Донецькобленерго""НП""Кост.РЕМ"""
131268,"ПАТ ""ДТЕК Донецькобленерго""НП""Костянт."
131268,"НП Слов'янський РЕС ПАО ""ДТЕК Донецько"
131268,"Костянтинiвське РВЕ ПАТ""ДТЕК ДОНЕЦЬКОБ"
131268,"ПАТ ""ДТЕК ДОНЕЦЬКОБЛЕНЕРГО""НП""Костянти"
131268,"ПАТ""ДТЕК Донецькобленерго"" НП ПРЕМ"
131268,"ПАТ""ДТЕКДонецькобленерго""НП""Костян.РЕМ"
131268,"ПАТ""ДТЕК ДОНЕЦЬКОБЛЕНЕРГО""НП Костянтин"
131268,"ПАТ ""ДТЕК ДОНЕЦЬКОБЛЕНЕРНГО"""
131268,"ПАО ""ДТЕК ""Донецькобленерго"""
131268,"ПАТ""ДТЕК Донецькобленерго"""
131268,"ПАО ДТЕК Донецькобленерго"
131268,"ПАТ""ДТЕК Донецьобленерго""НП""Костянтинi"
131305,"ПАТ""Київенерго"""
131305,"ПАТ ""КИЇВЕНЕРГО"""
131305,"ПАТ""Київенерго"" (активна ел.ен.)"
131305,"ПАТ ""Київенерго"""
131305,"ПАТ ""Києвенерго"""
131305,"ПАТ "" Київенерго"""
131305,"ПАТ""КИЇВЕНЕРГО"""
131512,"ПАТ""Волиньобленерго"""
131512,"ПАТ ""Волиньобленерго"" В.-Вол.фiлiя"
131512,"ПАТ ""Волиньобленерго"""
131512,"ПАТ ""Волиньобленерго"" Вол.-Вол.фiлiя"
131512,"Ковель ф-я  ПАТ ""Волиньобленерго"""
131512,"ПАТ "" Волиньобленерго"""
131512,"ПАТ""Волиньобленерго"" Луцька мiська ф-я"
131529,"ВАТЕК Закарпаттяобленерго"
131529,"ПАТ Закарпаттяобленерго"
131529,"Закарпаттяобленерго"
131529,"ПАТ ""Закарпаттяобленерго""/ Мiжг. РЕМ"
131529,"ПАТ""Закарпаттяобленерго""/Ужгородський"
131529,"Ужгородський РЕМ"
131529,"Ужгоросдький РЕМ"
131529,"ПАТ Закарпаттяобленерго Воловецький"
131529,"ПАТ Закарпаттяобленерго/Тячiв РЕМ"
131529,"ВАТЕК ""Закарпаттяобленерго"""
131529,"Мукачiвський  РЕМ"
131529,"ПАТ ""Закарпаття обленерго"""
131529,"ПАТ "" Закарпаттяобленерго"""
131529,"ПАТ""Закарпатобленергія"""
131529,"Виноградівський РЕМ"
131529,"Іршавський РЕМ"
131529,"ВАТ ЕК ""Закарпаттяобленерго"""
131529,"ПАТ""Закарпаттяобленерго"""
131529,"ПАТ ""Закарпаттяобленерго"""
131529,"Мукачiвський РЕМ"
131529,"""Закарпаттяобленерго"""
131529,"ПАТ ""Закарпаттяобленерго""\"
131529,"Мукачiвський РЕМ ПАТ ""Закарпатобленерг"
131529,"РЕМ"
131529,"ПАТ Закарпаттяобленерго/Свалявський р-"
131529,"ПАТ Закарпатобленерго"
131529,"ПАТ""Закарпаттяобленерго""/В.Березнянськ"
131529,"ПАТ Закарпаттяобленерго/Мукачівський Р"
131529,"Ужгородський МРЕМ"
131529,"ПАТ ""Закарпаттяобленерго""/   Мiжгiрськ"
131529,"Хустський РЕМ"
131529,"ПАТ ""Закарпаттяобленерго"" Хустський РЕ"
131529,"ПАТ""Закарпаттяобленерго""Рахiвський РЕМ"
131529,"ПАТ""Закарпаттяобленерго"
131529,"ПАТ  "" Закарпаттяобленерго"""
131529,"ПАТ""Закарпаттяобленерго""Хустський РЕМ"
131529,"ПАТ""Закарпаттяобленерго""\Iршавський РЕ"
131529,"ПАТ ""Закарпатобленерго"""
131529,"Т""Закарпаттяобленерго""Iршавський РЕМ"
131529,"ПАТ""Закарпаттяобленерго""/Воловецький Р"
131529,"ПАТ""Закарпаттяобленерго""/Рахiвський РЕ"
131529,"Тячiвський РЕМ"
131529,"ПАТ ""Закарпаттяобленеерго"""
131529,"ПАТ ""Закарпаттяобленергр""Мукач.РЕМ"
131529,"ТЯЧIВ РЕМ"
131529,"ПАТ "" Закарпаттяобленерго "" Ужгород"
131529,"Свалявський  РЕМ"
131529,"ПАТ""Закарпатобленерго""Свалявський РЕМ"
131529,"В.Березнянський РЕМ"
131529,"Закарпаттяобленерго /Мукачiвський РЕМ/"
131529,"ПАТ""Закарпаттяобленерго"" Берегівський"
131529,"""Закарпаттяобленерго""Ужгородський МРЕМ"
131564,"ПАТ ""Прикарпаттяоберенерго"""
131587,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ''ЛЬВІВ"
131587,"Бродівський ВЕП"
131587,"ПАТ ""Львівобленерго""Жидачівське ВЕП"
131587,"ПАТ ""Львівобленерго"" Самбірське ВЕП"
131587,"ПАТ""Львівобленерго""Самбірське ВЕП"
131587,"ПАТ""Львiвобленерго""Скол.вiддiлення"
131587,"ПАТ""Львівобленерго"" Самбірське ВЕП"
